in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_b,2048,1,sieve,never,,1,0,0,0,true,420659969,374500011,0,0,25968327,0,20191631,46159958,0,0
cf_a,2048,1,fifo,never,,1,0,0,0,true,348839958,310200145,0,0,21824172,0,16815641,38639813,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,true,348839958,312503818,0,0,21824172,0,14511968,36336140,0,0
cf_a,2048,1,lru,never,,1,0,0,0,true,348839958,313349154,0,0,21824172,0,13666632,35490804,0,0
cf_b,2048,1,fifo,never,,1,0,0,0,true,420659969,371815032,0,0,25968327,0,22876610,48844937,0,0
cf_b,2048,1,arc,never,,1,0,0,0,true,420659969,371411703,0,0,25968327,0,23279939,49248266,0,0
cf_c,2048,1,lru,never,,1,0,0,0,true,333449962,272575411,0,0,40609706,0,20264845,60874551,0,0
cf_c,2048,1,fifo,never,,1,0,0,0,true,333449962,269637064,0,0,40609706,0,23203192,63812898,0,0
cf_c,2048,1,sieve,never,,1,0,0,0,true,333449962,271874422,0,0,40609706,0,20965834,61575540,0,0
cf_c,2048,1,arc,never,,1,0,0,0,true,333449962,270347747,0,0,40609706,0,22492509,63102215,0,0
cf_d,2048,1,lru,never,,1,0,0,0,true,360809964,297209177,0,0,42324238,0,21276549,63600787,0,0
cf_d,2048,1,sieve,never,,1,0,0,0,true,360809964,296411381,0,0,42324238,0,22074345,64398583,0,0
cf_e,2048,1,lru,never,,1,0,0,0,true,200069953,174061831,0,0,17220044,0,8788078,26008122,0,0
cf_d,2048,1,fifo,never,,1,0,0,0,true,360809964,293979936,0,0,42324238,0,24505790,66830028,0,0
cf_e,2048,1,sieve,never,,1,0,0,0,true,200069953,173456940,0,0,17220044,0,9392969,26613013,0,0
cf_e,2048,1,fifo,never,,1,0,0,0,true,200069953,172270928,0,0,17220044,0,10578981,27799025,0,0
cf_e,2048,1,arc,never,,1,0,0,0,true,200069953,173437882,0,0,17220044,0,9412027,26632071,0,0
cf_a,2048,1,arc,never,,1,0,0,0,true,348839958,310657172,0,0,21824172,0,16358614,38182786,0,0
cf_a,2048,1,gdsf,never,,1,0,0,0,true,348839958,316793803,0,0,21824172,0,10221983,32046155,0,0
cf_d,2048,1,arc,never,,1,0,0,0,true,360809964,295544239,0,0,42324238,0,22941487,65265725,0,0
cf_f,2048,1,lru,never,,1,0,0,0,true,222299938,194177976,0,0,18257731,0,9864231,28121962,0,0
cf_f,2048,1,sieve,never,,1,0,0,0,true,222299938,193611740,0,0,18257731,0,10430467,28688198,0,0
cf_f,2048,1,fifo,never,,1,0,0,0,true,222299938,192240020,0,0,18257731,0,11802187,30059918,0,0
cf_g,2048,1,lru,never,,1,0,0,0,true,173849872,146663583,0,0,17390854,0,9795435,27186289,0,0
cf_g,2048,1,sieve,never,,1,0,0,0,true,173849872,146027646,0,0,17390854,0,10431372,27822226,0,0
cf_f,2048,1,arc,never,,1,0,0,0,true,222299938,193373659,0,0,18257731,0,10668548,28926279,0,0
cf_e,2048,1,gdsf,never,,1,0,0,0,true,200069953,175446693,0,0,17220044,0,7403216,24623260,0,0
cf_b,2048,1,lru,never,,1,0,0,0,true,420659969,375620699,0,0,25968327,0,19070943,45039270,0,0
cf_b,2048,1,gdsf,never,,1,0,0,0,true,420659969,379798424,0,0,25968327,0,14893218,40861545,0,0
cf_g,2048,1,fifo,never,,1,0,0,0,true,173849872,145354216,0,0,17390854,0,11104802,28495656,0,0
cf_h,2048,1,lru,never,,1,0,0,0,true,183539538,158034260,0,0,16577098,0,8928180,25505278,0,0
fb_a,2048,1,lru,never,,1,0,0,0,true,28499313,18768521,0,0,8608661,0,1122131,9730792,0,0
cf_g,2048,1,arc,never,,1,0,0,0,true,173849872,145343871,0,0,17390854,0,11115147,28506001,0,0
cf_c,2048,1,gdsf,never,,1,0,0,0,true,333449962,277378531,0,0,40609706,0,15461725,56071431,0,0
fb_a,2048,1,sieve,never,,1,0,0,0,true,28499313,18672288,0,0,8608661,0,1218364,9827025,0,0
cf_h,2048,1,fifo,never,,1,0,0,0,true,183539538,157027567,0,0,16577098,0,9934873,26511971,0,0
fb_a,2048,1,fifo,never,,1,0,0,0,true,28499313,18532789,0,0,8608661,0,1357863,9966524,0,0
fb_a,2048,1,arc,never,,1,0,0,0,true,28499313,17934279,0,0,8608661,0,1956373,10565034,0,0
fb_a,2048,1,gdsf,never,,1,0,0,0,true,28499313,19308827,0,0,8608661,0,581825,9190486,0,0
fb_b,2048,1,lru,never,,1,0,0,0,true,58707607,28787745,0,0,21974553,0,7945309,29919862,0,0
cf_h,2048,1,sieve,never,,1,0,0,0,true,183539538,157735449,0,0,16577098,0,9226991,25804089,0,0
cf_h,2048,1,arc,never,,1,0,0,0,true,183539538,157497715,0,0,16577098,0,9464725,26041823,0,0
fb_b,2048,1,sieve,never,,1,0,0,0,true,58707607,28572111,0,0,21974553,0,8160943,30135496,0,0
fb_b,2048,1,fifo,never,,1,0,0,0,true,58707607,28026846,0,0,21974553,0,8706208,30680761,0,0
fb_c,2048,1,sieve,never,,1,0,0,0,true,54719391,29211420,0,0,20138436,0,5369535,25507971,0,0
fb_b,2048,1,arc,never,,1,0,0,0,true,58707607,25093315,0,0,21974553,0,11639739,33614292,0,0
fb_c,2048,1,fifo,never,,1,0,0,0,true,54719391,28781541,0,0,20138436,0,5799414,25937850,0,0
fb_c,2048,1,arc,never,,1,0,0,0,true,54719391,26177135,0,0,20138436,0,8403820,28542256,0,0
cf_g,2048,1,gdsf,never,,1,0,0,0,true,173849872,147889510,0,0,17390854,0,8569508,25960362,0,0
wm_t,2048,1,lru,never,,1,0,0,0,true,112860000,86179949,0,0,10194645,0,16485406,26680051,0,0
cf_f,2048,1,gdsf,never,,1,0,0,0,true,222299938,195719883,0,0,18257731,0,8322324,26580055,0,0
wm_t,2048,1,sieve,never,,1,0,0,0,true,112860000,86179949,0,0,10194645,0,16485406,26680051,0,0
fb_b,2048,1,gdsf,never,,1,0,0,0,true,58707607,34724444,0,0,21974553,0,2008610,23983163,0,0
fb_c,2048,1,lru,never,,1,0,0,0,true,54719391,29388255,0,0,20138436,0,5192700,25331136,0,0
fb_c,2048,1,gdsf,never,,1,0,0,0,true,54719391,33627919,0,0,20138436,0,953036,21091472,0,0
wm_t,2048,1,fifo,never,,1,0,0,0,true,112860000,86179949,0,0,10194645,0,16485406,26680051,0,0
