in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,1,true,348839958,313345801,61469,0,21824172,0,13608516,35432688,62524,1390
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.9,0,0,1,true,348839958,313277874,721213,0,21824172,0,13016699,34840871,745538,27985
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.85,0,0,1,true,348839958,313195320,1185345,0,21824172,0,12635121,34459293,1295964,117977
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.7,0,0,1,true,348839958,312935128,2607839,0,21824172,0,11472819,33296991,3553947,955910
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.66,0,0,1,true,348839958,312838142,3134673,0,21824172,0,11042971,32867143,6991908,3865733
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.68,0,0,1,true,348839958,312881545,2896858,0,21824172,0,11237383,33061555,4133173,1246612
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.8,0,0,1,true,348839958,313103616,1726857,0,21824172,0,12185313,34009485,2003959,287687
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,1,0,0,1,true,348839958,313349154,0,0,21824172,0,13666632,35490804,0,0
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.68,0,0,1,true,333449962,271984777,3554991,0,40609706,0,17300488,57910194,5346832,1803166
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.7,0,0,1,true,333449962,272066461,3123187,0,40609706,0,17650608,58260314,4422720,1314809
cf_a,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.75,0,0,1,true,348839958,313037648,2100542,0,21824172,0,11877596,33701768,2582801,492454
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.66,0,0,1,true,333449962,271926356,3901069,0,40609706,0,17012831,57622537,9159550,5271105
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.66,0,0,1,true,200069953,173730663,2163787,0,17220044,0,6955459,24175503,7593211,5433050
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.68,0,0,1,true,200069953,173758360,2000004,0,17220044,0,7091545,24311589,2786319,790529
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.8,0,0,1,true,200069953,173943150,844106,0,17220044,0,8062653,25282697,980309,139142
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.7,0,0,1,true,200069953,173859711,1390436,0,17220044,0,7599762,24819806,1870124,483284
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.75,0,0,1,true,200069953,173904264,1154531,0,17220044,0,7791114,25011158,1421884,270152
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.85,0,0,1,true,200069953,173986854,616832,0,17220044,0,8246223,25466267,675063,59828
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.75,0,0,1,true,333449962,272197302,2448103,0,40609706,0,18194851,58804557,3147017,711889
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.8,0,0,1,true,333449962,272277490,2018348,0,40609706,0,18544418,59154124,2458675,450051
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.85,0,0,1,true,333449962,272384663,1383574,0,40609706,0,19072019,59681725,1579634,202871
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,1,0,0,1,true,333449962,272575411,0,0,40609706,0,20264845,60874551,0,0
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,1,true,333449962,272563587,116409,0,40609706,0,20160260,60769966,125161,8836
cf_c,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.9,0,0,1,true,333449962,272489222,695777,0,40609706,0,19655257,60264963,762799,71549
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,1,true,200069953,174062508,69171,0,17220044,0,8718230,25938274,70374,1275
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.9,0,0,1,true,200069953,174029501,347148,0,17220044,0,8473260,25693304,362421,15900
cf_e,2048,1,lru,ml,models/v10_cf_rfc.onnx,1,0,0,1,true,200069953,174061831,0,0,17220044,0,8788078,26008122,0,0
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.68,0,0,1,true,173849872,146304221,2812806,0,17390854,0,7341991,24732845,4033350,1220981
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.7,0,0,1,true,173849872,146341751,2583097,0,17390854,0,7534170,24925024,3512193,930266
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.66,0,0,1,true,173849872,146270576,3035320,0,17390854,0,7153122,24543976,13059239,10023482
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.8,0,0,1,true,173849872,146478747,1284882,0,17390854,0,8695389,26086243,1467278,183776
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.75,0,0,1,true,173849872,146420117,2121919,0,17390854,0,7916982,25307836,2629594,509075
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,1,true,173849872,146661480,47906,0,17390854,0,9749632,27140486,48801,983
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.85,0,0,1,true,173849872,146571109,732861,0,17390854,0,9155048,26545902,795054,63233
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,1,0,0,1,true,173849872,146663583,0,0,17390854,0,9795435,27186289,0,0
cf_g,2048,1,lru,ml,models/v10_cf_rfc.onnx,0.9,0,0,1,true,173849872,146615345,517902,0,17390854,0,9325771,26716625,536681,19227
