in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.1599999964237213,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.12999999523162842,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.10000000149011612,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.07999999821186066,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,0.05999999865889549,true,185768462,168000666,31845,0,10915881,0,6820070,17735951,32411,725
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,0.03999999910593033,true,185768462,168000667,31822,0,10915881,0,6820092,17735973,32388,725
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,0.019999999552965164,true,185768462,168000673,31693,0,10915881,0,6820215,17736096,32257,723
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.019999999552965164,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.03999999910593033,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,1,0,0,0.05999999865889549,true,185768462,168002706,0,0,10915881,0,6849875,17765756,0,0
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,0.95,0,0,0.07999999821186066,true,185768462,168000666,31848,0,10915881,0,6820067,17735948,32414,725
cf_a,2048,2,lru,ml,models/v10_cf_rfc.onnx,0.9,0,0,0.03999999910593033,true,185768462,167967250,377176,0,10915881,0,6508155,17424036,389581,14225
