in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.84,0,0,3.4028234663852886e+38,true,28499313,18725930,247269,0,8608661,0,917453,9526114,339057,82621
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.86,0,0,3.4028234663852886e+38,true,28499313,18756451,101607,0,8608661,0,1032594,9641255,150479,40836
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.88,0,0,3.4028234663852886e+38,true,28499313,18757149,95218,0,8608661,0,1038285,9646946,136624,34816
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.89,0,0,3.4028234663852886e+38,true,28499313,18757396,90278,0,8608661,0,1042978,9651639,127434,30980
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.87,0,0,3.4028234663852886e+38,true,28499313,18756713,97793,0,8608661,0,1036146,9644807,142382,37102
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.83,0,0,3.4028234663852886e+38,true,28499313,18713241,278925,0,8608661,0,898486,9507147,392999,104516
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.81,0,0,3.4028234663852886e+38,true,28499313,18694808,352973,0,8608661,0,842871,9451532,1823290,1460112
fb_a,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.82,0,0,3.4028234663852886e+38,true,28499313,18699036,307818,0,8608661,0,883798,9492459,463668,145964
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.89,0,0,3.4028234663852886e+38,true,58707607,28753526,233873,0,21974553,0,7745655,29720208,356092,117488
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.88,0,0,3.4028234663852886e+38,true,58707607,28753054,244379,0,21974553,0,7735621,29710174,378664,129244
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.86,0,0,3.4028234663852886e+38,true,58707607,28746713,264330,0,21974553,0,7722011,29696564,441020,168904
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.87,0,0,3.4028234663852886e+38,true,58707607,28751114,248200,0,21974553,0,7733740,29708293,389022,135243
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.83,0,0,3.4028234663852886e+38,true,58707607,28659088,753006,0,21974553,0,7320960,29295513,1135827,372204
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.84,0,0,3.4028234663852886e+38,true,58707607,28675961,656690,0,21974553,0,7400403,29374956,970596,303585
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.82,0,0,3.4028234663852886e+38,true,58707607,28643714,792892,0,21974553,0,7296448,29271001,1243394,439756
fb_b,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.81,0,0,3.4028234663852886e+38,true,58707607,28633557,912690,0,21974553,0,7186807,29161360,4637494,3713997
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.87,0,0,3.4028234663852886e+38,true,54719391,29366187,107147,0,20138436,0,5107621,25246057,180114,67225
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.89,0,0,3.4028234663852886e+38,true,54719391,29367500,100848,0,20138436,0,5112607,25251043,162416,56666
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.88,0,0,3.4028234663852886e+38,true,54719391,29367157,104809,0,20138436,0,5108989,25247425,171736,61694
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.86,0,0,3.4028234663852886e+38,true,54719391,29364665,114154,0,20138436,0,5102136,25240572,209466,87398
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.84,0,0,3.4028234663852886e+38,true,54719391,29341021,240585,0,20138436,0,4999349,25137785,394452,142733
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.83,0,0,3.4028234663852886e+38,true,54719391,29338375,262967,0,20138436,0,4979613,25118049,442404,167797
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.82,0,0,3.4028234663852886e+38,true,54719391,29335461,276550,0,20138436,0,4968944,25107380,497614,209181
fb_c,2048,1,lru,ml,models/v10_fb_rfc.onnx,0.81,0,0,3.4028234663852886e+38,true,54719391,29333209,313011,0,20138436,0,4934735,25073171,1547476,1222427
