in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
wm_t,2048,1,lru,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,112860000,85208502,6241205,0,10194645,0,11215648,21410293,7204824,921959
wm_t,2048,1,lru,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,112860000,85319055,5717012,0,10194645,0,11629288,21823933,6424577,663264
wm_t,2048,1,lru,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,112860000,85263111,5979284,0,10194645,0,11422960,21617605,6815525,794541
wm_t,2048,1,lru,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,112860000,85052673,6987867,0,10194645,0,10624815,20819460,8356357,1323667
wm_t,2048,1,sieve,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,112860000,85263111,5979284,0,10194645,0,11422960,21617605,6815525,794541
wm_t,2048,1,sieve,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,112860000,85208502,6241205,0,10194645,0,11215648,21410293,7204824,921959
wm_t,2048,1,sieve,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,112860000,85119280,6663990,0,10194645,0,10882085,21076730,7863822,1160530
wm_t,2048,1,sieve,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,112860000,85319055,5717012,0,10194645,0,11629288,21823933,6424577,663264
wm_t,2048,1,lru,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,112860000,85119280,6663990,0,10194645,0,10882085,21076730,7863822,1160530
wm_t,2048,1,gdsf,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,112860000,85319055,5717012,0,10194645,0,11629288,21823933,6424577,663264
wm_t,2048,1,gdsf,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,112860000,85263111,5979284,0,10194645,0,11422960,21617605,6815525,794541
wm_t,2048,1,gdsf,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,112860000,85119280,6663990,0,10194645,0,10882085,21076730,7863822,1160530
wm_t,2048,1,gdsf,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,112860000,85052673,6987867,0,10194645,0,10624815,20819460,8356357,1323667
wm_t,2048,1,gdsf,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,112860000,85208502,6241205,0,10194645,0,11215648,21410293,7204824,921959
wm_t,2048,1,sieve,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,112860000,85052673,6987867,0,10194645,0,10624815,20819460,8356357,1323667
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,112860000,85319055,5717012,0,10194645,0,11629288,21823933,6424577,663264
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,112860000,85263111,5979284,0,10194645,0,11422960,21617605,6815525,794541
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,112860000,85319055,5717012,0,10194645,0,11629288,21823933,6424577,663264
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,112860000,85208502,6241205,0,10194645,0,11215648,21410293,7204824,921959
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,112860000,85263111,5979284,0,10194645,0,11422960,21617605,6815525,794541
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,112860000,85208502,6241205,0,10194645,0,11215648,21410293,7204824,921959
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,112860000,85119280,6663990,0,10194645,0,10882085,21076730,7863822,1160530
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,112860000,85052673,6987867,0,10194645,0,10624815,20819460,8356357,1323667
wm_t,2048,1,arc,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,112860000,85119280,6663990,0,10194645,0,10882085,21076730,7863822,1160530
wm_t,2048,1,fifo,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,112860000,85052673,6987867,0,10194645,0,10624815,20819460,8356357,1323667
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,177900394,161340128,6499742,0,3023543,0,7036981,10060524,6865716,370904
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,177900394,161295684,6708531,0,3023543,0,6872636,9896179,7157295,456510
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,177900394,161247677,6939815,0,3023543,0,6689359,9712902,7460832,529394
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,177900394,161182347,7250254,0,3023543,0,6444250,9467793,7896717,655172
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,177900394,161295684,6708531,0,3023543,0,6872636,9896179,7157295,456510
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,177900394,161340128,6499742,0,3023543,0,7036981,10060524,6865716,370904
wm_u,2048,8,lru,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,177900394,161139729,7454011,0,3023543,0,6283111,9306654,8169990,721489
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,177900394,161340128,6499742,0,3023543,0,7036981,10060524,6865716,370904
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,177900394,161295684,6708531,0,3023543,0,6872636,9896179,7157295,456510
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,177900394,161247677,6939815,0,3023543,0,6689359,9712902,7460832,529394
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,177900394,161182347,7250254,0,3023543,0,6444250,9467793,7896717,655172
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,177900394,161247677,6939815,0,3023543,0,6689359,9712902,7460832,529394
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,177900394,161182347,7250254,0,3023543,0,6444250,9467793,7896717,655172
wm_u,2048,8,gdsf,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,177900394,161139729,7454011,0,3023543,0,6283111,9306654,8169990,721489
wm_u,2048,8,sieve,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,177900394,161139729,7454011,0,3023543,0,6283111,9306654,8169990,721489
wm_u,2048,8,fifo,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,177900394,161340128,6499742,0,3023543,0,7036981,10060524,6865716,370904
wm_u,2048,8,fifo,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,177900394,161295684,6708531,0,3023543,0,6872636,9896179,7157295,456510
wm_u,2048,8,fifo,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,177900394,161247677,6939815,0,3023543,0,6689359,9712902,7460832,529394
wm_u,2048,8,arc,ml,models/v10_wm_rfc.onnx,0.62,0,0,3.4028234663852886e+38,true,177900394,161295684,6708531,0,3023543,0,6872636,9896179,7157295,456510
wm_u,2048,8,arc,ml,models/v10_wm_rfc.onnx,0.64,0,0,3.4028234663852886e+38,true,177900394,161340128,6499742,0,3023543,0,7036981,10060524,6865716,370904
wm_u,2048,8,arc,ml,models/v10_wm_rfc.onnx,0.6,0,0,3.4028234663852886e+38,true,177900394,161247677,6939815,0,3023543,0,6689359,9712902,7460832,529394
wm_u,2048,8,arc,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,177900394,161182347,7250254,0,3023543,0,6444250,9467793,7896717,655172
wm_u,2048,8,arc,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,177900394,161139729,7454011,0,3023543,0,6283111,9306654,8169990,721489
wm_u,2048,8,fifo,ml,models/v10_wm_rfc.onnx,0.58,0,0,3.4028234663852886e+38,true,177900394,161182347,7250254,0,3023543,0,6444250,9467793,7896717,655172
wm_u,2048,8,fifo,ml,models/v10_wm_rfc.onnx,0.56,0,0,3.4028234663852886e+38,true,177900394,161139729,7454011,0,3023543,0,6283111,9306654,8169990,721489
