infile,capacity_mb,key_sample_ratio,evict_expired,rv_enable,rv_min_ttl,rv_min_freq,rv_max_zone_amp,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
wm_a,2048,1,true,true,5,8,2,197819321,150656071,3739266,0,17895056,0,25528928,43423984,3862302,106900
wm_a,2048,1,true,true,5,5,2,197819321,150241221,6228430,0,17895056,0,23454614,41349670,6707812,425630
wm_a,2048,1,true,true,5,4,2,197819321,149959189,7749978,0,17895056,0,22215098,40110154,8711666,869186
wm_a,2048,1,true,true,5,6,2,197819321,150432342,5141893,0,17895056,0,24350030,42245086,5415623,239113
wm_a,2048,1,true,true,5,2,2,197819321,148898393,13549957,0,17895056,0,17475915,35370971,19938529,5972894
wm_a,2048,1,true,true,1,8,2,197819321,150656071,3739266,0,17895056,0,25528928,43423984,3862302,106900
wm_a,2048,1,true,true,5,7,2,197819321,150564299,4341417,0,17895056,0,25018549,42913605,4516314,151963
wm_a,2048,1,true,true,5,3,2,197819321,149535928,9993249,0,17895056,0,20395088,38290144,12215436,2044112
wm_a,2048,1,true,true,1,6,2,197819321,150432342,5141893,0,17895056,0,24350030,42245086,5415623,239113
wm_a,2048,1,true,true,1,5,2,197819321,150241221,6228430,0,17895056,0,23454614,41349670,6707812,425630
wm_a,2048,1,true,true,1,3,2,197819321,149535928,9993249,0,17895056,0,20395088,38290144,12215436,2044112
wm_a,2048,1,true,true,1,4,2,197819321,149959189,7749978,0,17895056,0,22215098,40110154,8711666,869186
wm_a,2048,1,true,true,1,2,2,197819321,148898393,13549957,0,17895056,0,17475915,35370971,19938529,5972894
wm_a,2048,1,true,true,1,1,2,197819321,147962113,19537663,0,17895056,0,12424489,30319545,47945752,26949705
wm_a,2048,1,true,true,1,7,2,197819321,150564299,4341417,0,17895056,0,25018549,42913605,4516314,151963
wm_a,2048,1,true,true,5,1,2,197819321,147962113,19537663,0,17895056,0,12424489,30319545,47945752,26949705
wm_a,2048,1,true,true,30,6,2,197819321,150432342,5141893,0,17895056,0,24350030,42245086,5415623,239113
wm_a,2048,1,true,true,15,6,2,197819321,150432342,5141893,0,17895056,0,24350030,42245086,5415623,239113
wm_a,2048,1,true,true,30,3,2,197819321,149535928,9993249,0,17895056,0,20395088,38290144,12215436,2044112
wm_a,2048,1,true,true,15,4,2,197819321,149959189,7749978,0,17895056,0,22215098,40110154,8711666,869186
wm_a,2048,1,true,true,30,4,2,197819321,149959189,7749978,0,17895056,0,22215098,40110154,8711666,869186
wm_a,2048,1,true,true,30,5,2,197819321,150241221,6228430,0,17895056,0,23454614,41349670,6707812,425630
wm_a,2048,1,true,true,30,7,2,197819321,150564299,4341417,0,17895056,0,25018549,42913605,4516314,151963
wm_a,2048,1,true,true,30,8,2,197819321,150656071,3739266,0,17895056,0,25528928,43423984,3862302,106900
wm_a,2048,1,true,true,30,2,2,197819321,148898393,13549957,0,17895056,0,17475915,35370971,19938529,5972894
wm_a,2048,1,true,true,30,1,2,197819321,147962113,19537663,0,17895056,0,12424489,30319545,47945752,26949705
wm_a,2048,1,true,true,15,3,2,197819321,149535928,9993249,0,17895056,0,20395088,38290144,12215436,2044112
wm_a,2048,1,true,true,15,5,2,197819321,150241221,6228430,0,17895056,0,23454614,41349670,6707812,425630
wm_a,2048,1,true,true,15,2,2,197819321,148898393,13549957,0,17895056,0,17475915,35370971,19938529,5972894
wm_a,2048,1,true,true,15,8,2,197819321,150656071,3739266,0,17895056,0,25528928,43423984,3862302,106900
wm_a,2048,1,true,true,15,7,2,197819321,150564299,4341417,0,17895056,0,25018549,42913605,4516314,151963
wm_a,2048,1,true,true,15,1,2,197819321,147962113,19537663,0,17895056,0,12424489,30319545,47945752,26949705
wm_a,2048,1,true,true,45,1,2,197819321,147962113,19537663,0,17895056,0,12424489,30319545,47945752,26949705
wm_a,2048,1,true,true,45,3,2,197819321,149535928,9993249,0,17895056,0,20395088,38290144,12215436,2044112
wm_a,2048,1,true,true,45,5,2,197819321,150241221,6228430,0,17895056,0,23454614,41349670,6707812,425630
wm_a,2048,1,true,true,45,6,2,197819321,150432342,5141893,0,17895056,0,24350030,42245086,5415623,239113
