in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.8,0,0,0,611934080,546032230,1688710,0,39393977,0,24819163,64213140,1738968,49219
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.85,0,0,0,611934080,546084166,1289770,0,39393977,0,25166167,64560144,1313882,23673
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.95,0,0,0,611934080,546161506,293900,0,39393977,0,26084697,65478674,294694,792
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.65,0,0,0,611934080,545852603,2754667,0,39393977,0,23932833,63326810,2989288,229689
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.75,0,0,0,611934080,545978731,2041217,0,39393977,0,24520155,63914132,2139530,96449
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.7,0,0,0,611934080,545908743,2441630,0,39393977,0,24189730,63583707,2603635,158814
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.55,0,0,0,611934080,545691378,3629708,0,39393977,0,23219017,62612994,4252059,613372
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.5,0,0,0,611934080,545601887,4081504,0,39393977,0,22856712,62250689,4934266,840234
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.6,0,0,0,611934080,545776711,3160636,0,39393977,0,23602756,62996733,3527711,360169
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.65,0,0,0,585034315,479429101,3544965,0,69164776,0,32895473,102060249,3962049,402802
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.6,0,0,0,585034315,479344606,3991893,0,69164776,0,32533040,101697816,4587267,578431
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.7,0,0,0,585034315,479500262,3153266,0,69164776,0,33216011,102380787,3454042,289363
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.5,0,0,0,585034315,479148561,4976208,0,69164776,0,31744770,100909546,6115432,1113922
cf_a,2048,1,ml,models/rfc_cf_all.onnx,1,0,0,0,611934080,546175503,0,0,39393977,0,26364600,65758577,0,0
cf_a,2048,1,ml,models/rfc_cf_all.onnx,0.9,0,0,0,611934080,546124759,878505,0,39393977,0,25536839,64930816,886826,8217
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.55,0,0,0,585034315,479258849,4449467,0,69164776,0,32161223,101325999,5260861,791098
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.55,0,0,0,350792453,301897251,2443841,0,31410803,0,15040558,46451361,2804089,353571
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.6,0,0,0,350792453,301955962,2066571,0,31410803,0,15359117,46769920,2282263,210784
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.5,0,0,0,350792453,301823456,2835503,0,31410803,0,14722691,46133494,3362930,518091
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.65,0,0,0,350792453,302010690,1746629,0,31410803,0,15624331,47035134,1886418,136359
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.75,0,0,0,350792453,302102669,1206518,0,31410803,0,16072463,47483266,1258613,50925
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.7,0,0,0,350792453,302056005,1486022,0,31410803,0,15839623,47250426,1578533,90462
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.8,0,0,0,350792453,302142215,939222,0,31410803,0,16300213,47711016,964384,24526
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.95,0,0,0,350792453,302213323,58100,0,31410803,0,17110227,48521030,58267,167
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.85,0,0,0,350792453,302176634,650033,0,31410803,0,16554983,47965786,661507,11207
cf_e,2048,1,ml,models/rfc_cf_all.onnx,0.9,0,0,0,350792453,302200473,370006,0,31410803,0,16811171,48221974,372891,2830
cf_c,2048,1,ml,models/rfc_cf_all.onnx,1,0,0,0,585034315,479869386,0,0,69164776,0,36000153,105164929,0,0
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.9,0,0,0,585034315,479809132,925116,0,69164776,0,35135291,104300067,938769,13127
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.95,0,0,0,585034315,479859702,240595,0,69164776,0,35769242,104934018,241233,638
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.8,0,0,0,585034315,479662555,2185515,0,69164776,0,34021469,103186245,2290979,99379
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.85,0,0,0,585034315,479739933,1562971,0,69164776,0,34566635,103731411,1611881,45652
cf_c,2048,1,ml,models/rfc_cf_all.onnx,0.75,0,0,0,585034315,479578395,2691167,0,69164776,0,33599977,102764753,2888689,188637
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.55,0,0,0,305423259,255770494,2955631,0,30637283,0,16059851,46697134,3475478,514028
cf_e,2048,1,ml,models/rfc_cf_all.onnx,1,0,0,0,350792453,302215969,0,0,31410803,0,17165681,48576484,0,0
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.5,0,0,0,305423259,255697441,3407267,0,30637283,0,15681268,46318551,4126650,711331
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.6,0,0,0,305423259,255826956,2166341,0,30637283,0,16792679,47429962,2374851,204020
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.75,0,0,0,305423259,255963047,1293216,0,30637283,0,17529713,48166996,1340575,45834
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.7,0,0,0,305423259,255917425,1568571,0,30637283,0,17299980,47937263,1650631,79805
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.65,0,0,0,305423259,255879339,1790316,0,30637283,0,17116321,47753604,1912210,118579
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.9,0,0,0,305423259,256071602,474535,0,30637283,0,18239839,48877122,477318,2681
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.8,0,0,0,305423259,256002934,1023440,0,30637283,0,17759602,48396885,1046797,22304
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.85,0,0,0,305423259,256039238,765054,0,30637283,0,17981684,48618967,775709,10196
cf_g,2048,1,ml,models/rfc_cf_all.onnx,1,0,0,0,305423259,256095308,0,0,30637283,0,18690668,49327951,0,0
cf_g,2048,1,ml,models/rfc_cf_all.onnx,0.95,0,0,0,305423259,256088791,155250,0,30637283,0,18541935,49179218,155642,392
