in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_d,2048,1,oracle,,1,0,0,0,633171872,517321524,9309272,0,74905308,0,31635768,106541076,9477743,168471
cf_c,2048,1,oracle,,1,0,0,0,585034315,478598812,8456640,0,69164776,0,28814087,97978863,8567012,110372
cf_c,2048,1,oracle,,1,0,0,0,585034315,478598812,8456640,0,69164776,0,28814087,97978863,8567012,110372
cf_d,2048,1,never,,1,0,0,0,633171872,518705125,0,0,74905308,0,39561439,114466747,0,0
cf_a,2048,1,oracle,,1,0,0,0,611934080,545095764,6924054,0,39393977,0,20520285,59914262,6996856,72802
cf_a,2048,1,oracle,,1,0,0,0,611934080,545095764,6924054,0,39393977,0,20520285,59914262,6996856,72802
cf_b,2048,1,oracle,,1,0,0,0,737911396,655921827,8895247,0,45745872,0,27348450,73094322,8994244,98997
cf_c,2048,1,never,,1,0,0,0,585034315,479869386,0,0,69164776,0,36000153,105164929,0,0
cf_a,2048,1,never,,1,0,0,0,611934080,546175503,0,0,39393977,0,26364600,65758577,0,0
cf_b,2048,1,never,,1,0,0,0,737911396,657331478,0,0,45745872,0,34834046,80579918,0,0
cf_e,2048,1,never,,1,0,0,0,350792453,302215969,0,0,31410803,0,17165681,48576484,0,0
fb_a,2048,1,never,,1,0,0,0,50113746,25674957,0,0,14705869,0,9732920,24438789,0,0
cf_e,2048,1,oracle,,1,0,0,0,350792453,301395460,5495974,0,31410803,0,12490216,43901019,5502353,6379
cf_f,2048,1,oracle,,1,0,0,0,390182208,337772391,5879176,0,32923596,0,13607045,46530641,5885149,5973
cf_h,2048,1,oracle,,1,0,0,0,322920612,275553422,5141710,0,29307352,0,12918128,42225480,5147883,6173
cf_h,2048,1,oracle,,1,0,0,0,322920612,275553422,5141710,0,29307352,0,12918128,42225480,5147883,6173
cf_f,2048,1,never,,1,0,0,0,390182208,338639543,0,0,32923596,0,18619069,51542665,0,0
cf_g,2048,1,never,,1,0,0,0,305423259,256095308,0,0,30637283,0,18690668,49327951,0,0
cf_h,2048,1,never,,1,0,0,0,322920612,276280492,0,0,29307352,0,17332768,46640120,0,0
cf_g,2048,1,oracle,,1,0,0,0,305423259,255322221,5187066,0,30637283,0,14276689,44913972,5196916,9850
fb_a,2048,1,oracle,,1,0,0,0,50113746,25651576,311538,0,14705869,0,9444763,24150632,311538,0
fb_b,2048,1,never,,1,0,0,0,102876031,30773838,0,0,36942103,0,35160090,72102193,0,0
fb_c,2048,1,never,,1,0,0,0,96068462,36469060,0,0,34573735,0,25025667,59599402,0,0
fb_b,2048,1,oracle,,1,0,0,0,102876031,30717357,747700,0,36942103,0,34468871,71410974,747700,0
fb_c,2048,1,oracle,,1,0,0,0,96068462,36428965,415086,0,34573735,0,24650676,59224411,415086,0
wm_t,2048,1,oracle,,1,0,0,0,197819321,147962620,19534922,0,17895056,0,12426723,30321779,19534922,0
wm_t,2048,1,never,,1,0,0,0,197819321,150948566,0,0,17895056,0,28975699,46870755,0,0
