in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_h,2048,8,oracle,,1,0,0,0,33984146,27918078,713579,0,3664777,0,1687712,5352489,714384,805
fb_a,2048,8,never,,1,0,0,0,4735117,1723674,0,0,1839131,0,1172312,3011443,0,0
cf_e,2048,8,oracle,,1,0,0,0,42492124,36349677,672102,0,3927654,0,1542691,5470345,672871,769
cf_f,2048,8,oracle,,1,0,0,0,47897821,41433858,714962,0,4114527,0,1634474,5749001,715710,748
cf_h,2048,8,never,,1,0,0,0,33984146,27995237,0,0,3664777,0,2324132,5988909,0,0
cf_g,2048,8,oracle,,1,0,0,0,43402541,36947329,772081,0,3828322,0,1854809,5683131,773338,1257
cf_f,2048,8,never,,1,0,0,0,47897821,41539662,0,0,4114527,0,2243632,6358159,0,0
cf_g,2048,8,never,,1,0,0,0,43402541,37062732,0,0,3828322,0,2511487,6339809,0,0
fb_a,2048,8,oracle,,1,0,0,0,4735117,1721356,33187,0,1839131,0,1141443,2980574,33187,0
fb_b,2048,8,never,,1,0,0,0,12830715,3693931,0,0,4618725,0,4518059,9136784,0,0
fb_b,2048,8,oracle,,1,0,0,0,12830715,3687168,91499,0,4618725,0,4433323,9052048,91499,0
fb_c,2048,8,never,,1,0,0,0,10844841,3409342,0,0,4321828,0,3113671,7435499,0,0
wm_t,2048,8,oracle,,1,0,0,0,24444951,18213195,2440795,0,2237271,0,1553690,3790961,2440795,0
wm_t,2048,8,never,,1,0,0,0,24444951,18586145,0,0,2237271,0,3621535,5858806,0,0
wm_t,2048,8,never,,1,0,0,0,24444951,18586145,0,0,2237271,0,3621535,5858806,0,0
fb_c,2048,8,oracle,,1,0,0,0,10844841,3404436,50730,0,4321828,0,3067847,7389675,50730,0
cf_e,2048,8,never,,1,0,0,0,42492124,36449184,0,0,3927654,0,2115286,6042940,0,0
cf_d,2048,8,never,,1,0,0,0,77177560,62771823,0,0,9358413,0,5047324,14405737,0,0
cf_d,2048,8,oracle,,1,0,0,0,77177560,62590175,1172541,0,9358413,0,4056431,13414844,1194246,21705
cf_c,2048,8,never,,1,0,0,0,94025982,80712124,0,0,8642727,0,4671131,13313858,0,0
cf_c,2048,8,never,,1,0,0,0,94025982,80712124,0,0,8642727,0,4671131,13313858,0,0
cf_c,2048,8,oracle,,1,0,0,0,94025982,80533192,1156049,0,8642727,0,3694014,12336741,1170083,14034
cf_b,2048,8,never,,1,0,0,0,89602623,79690000,0,0,5721048,0,4191575,9912623,0,0
cf_b,2048,8,oracle,,1,0,0,0,89602623,79539471,992910,0,5721048,0,3349194,9070242,1004972,12062
cf_a,2048,8,never,,1,0,0,0,79445928,71312896,0,0,4924988,0,3208044,8133032,0,0
cf_a,2048,8,oracle,,1,0,0,0,79445928,71182910,845859,0,4924988,0,2492171,7417159,854266,8407
