in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,611934080,546113483,1142894,0,39393977,0,25283726,64677703,1164946,21753
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,611934080,545965911,2222598,0,39393977,0,24351594,63745571,2349679,124386
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,611934080,545821491,3013101,0,39393977,0,23705511,63099488,3357385,337895
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,611934080,545694207,3711746,0,39393977,0,23134150,62528127,4380083,655743
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,585034315,479107741,5224325,0,69164776,0,31537473,100702249,6731066,1475977
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,585034315,478973098,5831294,0,69164776,0,31065147,100229923,7983342,2112184
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,585034315,479226287,4688912,0,69164776,0,31954340,101119116,5711986,998296
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,585034315,478791152,6728012,0,69164776,0,30350375,99515151,10061668,3276355
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,350792453,301454821,4874349,0,31410803,0,13052480,44463283,7170518,2268646
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,350792453,301801799,2980605,0,31410803,0,14599246,46010049,3637040,646035
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,350792453,301705256,3487866,0,31410803,0,14188528,45599331,4469819,967915
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,350792453,301578178,4210171,0,31410803,0,13593301,45004104,5808134,1577001
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,585034315,478607599,7584558,0,69164776,0,29677382,98842158,12239904,4586103
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,585034315,478243106,9497411,0,69164776,0,28129022,97293798,227628427,218049191
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,611934080,545464809,4865748,0,39393977,0,22209546,61603523,6437816,1548557
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,611934080,545464809,4865748,0,39393977,0,22209546,61603523,6437816,1548557
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,611934080,545314666,5718786,0,39393977,0,21506651,60900628,8173991,2418843
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,611934080,545464809,4865748,0,39393977,0,22209546,61603523,6437816,1548557
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,611934080,545314666,5718786,0,39393977,0,21506651,60900628,8173991,2418843
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,611934080,545580810,4275697,0,39393977,0,22683596,62077573,5348237,1054903
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,611934080,545464809,4865748,0,39393977,0,22209546,61603523,6437816,1548557
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,611934080,545314666,5718786,0,39393977,0,21506651,60900628,8173991,2418843
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,611934080,545580810,4275697,0,39393977,0,22683596,62077573,5348237,1054903
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,611934080,545161453,6559644,0,39393977,0,20819006,60212983,9997102,3395136
cf_a,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,611934080,544843197,8969304,0,39393977,0,18727602,58121579,274256775,265234076
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,585034315,479571941,2845812,0,69164776,0,33451786,102616562,3079238,222793
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,585034315,479392730,3834006,0,69164776,0,32642803,101807579,4377896,526897
cf_c,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,585034315,479776400,1336942,0,69164776,0,34756197,103920973,1381799,41349
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,350792453,302198997,537776,0,31410803,0,16644877,48055680,545963,7984
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,350792453,301879842,2576745,0,31410803,0,14925063,46335866,3012259,428210
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,350792453,301988220,1951845,0,31410803,0,15441585,46852388,2138370,182570
cf_e,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,350792453,302095502,1328487,0,31410803,0,15957661,47368464,1393902,63718
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.55,0,0,0,50113746,33090946,521938,0,14705869,0,1794993,16500862,752202,213408
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,50113746,33124017,322669,0,14705869,0,1961191,16667060,479492,140836
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,50113746,33166618,85613,0,14705869,0,2155646,16861515,177885,77800
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,50113746,33171280,69672,0,14705869,0,2166925,16872794,129611,49075
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,50113746,33179726,47213,0,14705869,0,2180938,16886807,74352,21183
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,50113746,33182527,36610,0,14705869,0,2188740,16894609,53977,12655
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,50113746,33187659,19342,0,14705869,0,2200876,16906745,25201,3930
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,50113746,33191491,8891,0,14705869,0,2207495,16913364,9939,555
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,0.95,0,0,0,50113746,33194336,703,0,14705869,0,2212838,16918707,740,20
fb_a,2048,1,ml,models/v7_cf_rfc.onnx,1,0,0,0,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.8,0,0,0,305423259,255757002,3117957,0,30637283,0,15911017,46548300,3727595,602095
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.85,0,0,0,305423259,255860483,2074350,0,30637283,0,16851143,47488426,2257924,179320
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.9,0,0,0,305423259,255967045,1364906,0,30637283,0,17454025,48091308,1424280,57203
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.75,0,0,0,305423259,255681292,3488376,0,30637283,0,15616308,46253591,4308649,809785
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.7,0,0,0,305423259,255591673,3986199,0,30637283,0,15208104,45845387,5118525,1118755
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.65,0,0,0,305423259,255484152,4907776,0,30637283,0,14394048,45031331,6761505,1832046
cf_g,2048,1,ml,models/v7_cf_rfc.onnx,0.6,0,0,0,305423259,255367365,5589787,0,30637283,0,13828824,44466107,8253536,2635299
