in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,585034315,479883163,164449,0,69164776,0,35821927,104986703,638197,473610
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,585034315,479890175,15898,0,69164776,0,35963466,105128242,128541,112643
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,585034315,479891209,531,0,69164776,0,35977799,105142575,14386,13855
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,585034315,479891216,0,0,69164776,0,35978323,105143099,0,0
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,585034315,479815844,974464,0,69164776,0,35079231,104244007,2363910,1388194
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,611934080,546166460,590170,0,39393977,0,25783473,65177450,1058013,467798
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,611934080,546166460,590170,0,39393977,0,25783473,65177450,1058013,467798
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,611934080,546196341,40683,0,39393977,0,26303079,65697056,165409,124725
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,611934080,546088192,1493789,0,39393977,0,24958122,64352099,2996947,1502173
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,611934080,546088192,1493789,0,39393977,0,24958122,64352099,2996947,1502173
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,611934080,545954635,2582926,0,39393977,0,24002542,63396519,1231328936,1228738497
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,611934080,545772702,3868948,0,39393977,0,22898453,62292430,1854159322,1850274629
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,350792453,302224709,331579,0,31410803,0,16825362,48236165,781754,450127
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,350792453,302185462,891648,0,31410803,0,16304540,47715343,3076925,2184614
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,350792453,302230944,33723,0,31410803,0,17116983,48527786,241455,207731
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,350792453,302232510,7,0,31410803,0,17149133,48559936,648,641
cf_e,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,350792453,302232510,0,0,31410803,0,17149140,48559943,0,0
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,585034315,479693994,1975432,0,69164776,0,34200113,103364889,976873683,974891249
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,585034315,479693994,1975432,0,69164776,0,34200113,103364889,976873683,974891249
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,585034315,479405441,4055292,0,69164776,0,32408806,101573582,3265051804,3260974089
cf_c,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,585034315,479179442,5313202,0,69164776,0,31376895,100541671,5432544427,5427199332
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,611934080,545546511,5139518,0,39393977,0,21854074,61248051,3170087219,3164921824
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,611934080,545546511,5139518,0,39393977,0,21854074,61248051,3170087219,3164921824
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,611934080,545642205,4613934,0,39393977,0,22283964,61677941,3039167866,3034532252
cf_a,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,611934080,545345035,6518650,0,39393977,0,20676418,60070395,6772028902,6765468606
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,305423259,256087816,1073533,0,30637283,0,17624627,48261910,1726153,652513
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,305423259,256103364,49712,0,30637283,0,18632900,49270183,167057,117344
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,305423259,256033059,1910516,0,30637283,0,16842401,47479684,3351604,1440094
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,305423259,256105718,19531,0,30637283,0,18660727,49298010,48476,28945
cf_g,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,305423259,256107404,0,0,30637283,0,18678572,49315855,0,0
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,50113746,33075279,641593,0,14705869,0,1691005,16396874,408486399,407826687
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.65,0,0,0,50113746,33077082,634494,0,14705869,0,1696301,16402170,408529971,407878255
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,50113746,33086045,602098,0,14705869,0,1719734,16425603,1036043,421075
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,50113746,33088495,592080,0,14705869,0,1727302,16433171,970532,367380
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,50113746,33076006,638339,0,14705869,0,1693532,16399401,408491429,407835259
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,50113746,33092279,573992,0,14705869,0,1741606,16447475,828261,246051
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,50113746,33107186,508262,0,14705869,0,1792429,16498298,588824,76361
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.95,0,0,0,50113746,33127109,382319,0,14705869,0,1898449,16604318,410903,27587
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,1,0,0,0,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
fb_a,2048,1,ml,models/v7_fb_rfc.onnx,0.7,0,0,0,50113746,33078919,627873,0,14705869,0,1701085,16406954,369936813,369292899
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.55,0,0,0,102876031,50807189,1557517,0,36942103,0,13569222,50511325,382030546,380456215
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.6,0,0,0,102876031,50808085,1551159,0,36942103,0,13574684,50516787,382017221,380449255
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.75,0,0,0,102876031,50816712,1494023,0,36942103,0,13623193,50565296,2729625,1219685
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.8,0,0,0,102876031,50818327,1483032,0,36942103,0,13632569,50574672,2594080,1095520
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.85,0,0,0,102876031,50829685,1439663,0,36942103,0,13664580,50606683,2143504,693976
fb_b,2048,1,ml,models/v7_fb_rfc.onnx,0.9,0,0,0,102876031,50855476,1290656,0,36942103,0,13787796,50729899,1527585,231959
