in,gib,ksr,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,oracle,,6,0,0,0,611934080,544358126,13801390,0,39393977,0,14380587,53774564,26368649,12567259
cf_a,2048,1,oracle,,8,0,0,0,611934080,544300281,14386548,0,39393977,0,13853274,53247251,30542628,16156080
cf_a,2048,1,oracle,,3,0,0,0,611934080,544586413,11997731,0,39393977,0,15955959,55349936,17709978,5712247
cf_a,2048,1,oracle,,2,0,0,0,611934080,544759950,10832671,0,39393977,0,16947482,56341459,14097450,3264779
cf_a,2048,1,oracle,,1,0,0,0,611934080,545072285,8719393,0,39393977,0,18748425,58142402,9564309,844916
cf_a,2048,1,oracle,,4,0,0,0,611934080,544483824,12796411,0,39393977,0,15259868,54653845,20940622,8144211
cf_a,2048,1,oracle,,16,0,0,0,611934080,544171759,15585684,0,39393977,0,12782660,52176637,44081652,28495968
cf_b,2048,1,oracle,,1,0,0,0,737911396,655735491,11383930,0,45745872,0,25046103,70791975,12437598,1053668
cf_b,2048,1,oracle,,1,0,0,0,737911396,655735491,11383930,0,45745872,0,25046103,70791975,12437598,1053668
8
cf_a,2048,1,oracle,,12,0,0,0,611934080,544219176,15176788,0,39393977,0,13144139,52538116,38148597,22971809
cf_b,2048,1,oracle,,2,0,0,0,737911396,655316860,14137259,0,45745872,0,22711405,68457277,18269918,4132659
cf_b,2048,1,oracle,,3,0,0,0,737911396,655092129,15691842,0,45745872,0,21381553,67127425,23000326,7308484
cf_b,2048,1,oracle,,4,0,0,0,737911396,654955638,16729858,0,45745872,0,20480028,66225900,27335541,10605683
cf_b,2048,1,oracle,,6,0,0,0,737911396,654782046,18061716,0,45745872,0,19321762,65067634,34748230,16686514
cf_b,2048,1,oracle,,8,0,0,0,737911396,654702168,18804284,0,45745872,0,18659072,64404944,40377422,21573138
cf_b,2048,1,oracle,,12,0,0,0,737911396,654582785,19793460,0,45745872,0,17789279,63535151,50475634,30682174
cf_b,2048,1,oracle,,16,0,0,0,737911396,654525311,20365253,0,45745872,0,17274960,63020832,58554212,38188959
