in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,544716312,2627839,0,39393977,0,25195952,64589929,2859661,226492
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,544427623,4084820,0,39393977,0,24027660,63421637,4973647,875224
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,546077707,1358891,0,39393977,0,25103505,64497482,1415611,54453
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,545628584,4097618,0,39393977,0,22813901,62207878,4981401,868362
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,545725847,3521930,0,39393977,0,23292326,62686303,4084613,551180
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,545887258,2685736,0,39393977,0,23967109,63361086,2919332,227811
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,546188914,192496,0,39393977,0,26158693,65552670,195262,2633
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,545041651,190022,0,39393977,0,27308430,66702407,192784,2629
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,539016862,139695,0,39393977,0,33383546,72777523,141407,1698
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,539724886,2337344,0,39393977,0,30477873,69871850,2508736,170346
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,539456939,1128130,0,39393977,0,31955034,71349011,1164310,35856
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,539809024,3703052,0,39393977,0,29028027,68422004,4425298,718700
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,539761599,3088327,0,39393977,0,29690177,69084154,3515604,425052
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,540330564,4039756,0,39393977,0,28169783,67563760,4926551,875045
cf_a,2048,1,arc,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,538902048,0,0,39393977,0,33638055,73032032,0,0
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,541042874,1162858,0,39393977,0,30334371,69728348,1217247,52492
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,541271310,157749,0,39393977,0,31111044,70505021,160480,2608
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,540576313,3256714,0,39393977,0,28707076,68101053,3800920,535254
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,541312490,0,0,39393977,0,31227613,70621590,0,0
cf_a,2048,1,fifo,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,540795987,2358036,0,39393977,0,29386080,68780057,2579659,217148
cf_a,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,546199566,0,0,39393977,0,26340537,65734514,0,0
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,552294922,2688301,0,39393977,0,17556880,56950857,2921959,227783
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,552294922,2688301,0,39393977,0,17556880,56950857,2921959,227783
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,552040318,4109363,0,39393977,0,16390422,55784399,4996058,870578
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,552294922,2688301,0,39393977,0,17556880,56950857,2921959,227783
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,552040318,4109363,0,39393977,0,16390422,55784399,4996058,870578
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,552135662,3528662,0,39393977,0,16875779,56269756,4092869,552371
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,611934080,552294922,2688301,0,39393977,0,17556880,56950857,2921959,227783
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,611934080,552040318,4109363,0,39393977,0,16390422,55784399,4996058,870578
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,552135662,3528662,0,39393977,0,16875779,56269756,4092869,552371
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,552483868,1359162,0,39393977,0,18697073,58091050,1415869,54429
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,611934080,552593976,192490,0,39393977,0,19753637,59147614,195254,2631
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,611934080,544912121,1328137,0,39393977,0,26299845,65693822,1384640,54326
cf_a,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,611934080,544552985,3470256,0,39393977,0,24516862,63910839,4030988,550318
cf_a,2048,1,gdsf,ml,models/v8_cf_rfc.onnx,1,0,0,0,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.75,0,0,0,737911396,656625311,5323992,0,45745872,0,30216221,75962093,6453047,1107407
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,656748683,4622340,0,45745872,0,30794501,76540373,5350504,712144
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,657359229,252418,0,45745872,0,34553877,80299749,255954,3361
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,656963762,3525069,0,45745872,0,31676693,77422565,3822188,288882
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,657373304,0,0,45745872,0,34792220,80538092,0,0
cf_b,2048,1,lru,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,657219692,1751335,0,45745872,0,33194497,78940369,1824835,70284
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.9,0,0,0,737911396,655586430,1719560,0,45745872,0,34859534,80605406,1794667,71971
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.85,0,0,0,737911396,655322913,3456588,0,45745872,0,33386023,79131895,3756774,292331
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.8,0,0,0,737911396,655082560,4557279,0,45745872,0,32525685,78271557,5293305,720976
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,0.95,0,0,0,737911396,655742113,250415,0,45745872,0,36172996,81918868,253969,3379
cf_b,2048,1,sieve,ml,models/v8_cf_rfc.onnx,1,0,0,0,737911396,655757866,0,0,45745872,0,36407658,82153530,0,0
