in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_a,2048,1,gdsf,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,34435213,0,0,14705869,0,972664,15678533,0,0
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,33189784,12588,0,14705869,0,2205505,16911374,14449,1031
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,33189784,12588,0,14705869,0,2205505,16911374,14449,1031
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,32960799,588768,0,14705869,0,1858310,16564179,232091653,231494947
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,50113746,33045435,150358,0,14705869,0,2212084,16917953,187221,34308
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,33041120,175317,0,14705869,0,2191440,16897309,255351,74988
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,33065503,10377,0,14705869,0,2331997,17037866,13888,2876
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,50113746,32955323,616106,0,14705869,0,1836448,16542317,309581369,308954055
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,33165809,182574,0,14705869,0,2059494,16765363,254864,64446
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,50113746,33082970,614680,0,14705869,0,1710227,16416096,278265393,277637683
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,33085238,596724,0,14705869,0,1725915,16431784,230612090,230003715
fb_a,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,50113746,33079971,625504,0,14705869,0,1702402,16408271,312335930,311695143
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,50113746,31677103,149444,0,14705869,0,3581330,18287199,189577,38079
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,31678020,9767,0,14705869,0,3720090,18425959,10740,660
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,31680978,173979,0,14705869,0,3552920,18258789,239783,61088
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,31679574,0,0,14705869,0,3728303,18434172,0,0
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,50113746,32760534,163299,0,14705869,0,2484044,17189913,256789,90333
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,50113746,32766788,141775,0,14705869,0,2499314,17205183,187975,44528
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,50113746,32790950,4183,0,14705869,0,2612744,17318613,10768,6248
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,32799473,0,0,14705869,0,2608404,17314273,0,0
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,32679264,575281,0,14705869,0,2153332,16859201,236550162,235969200
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,50113746,32676556,592022,0,14705869,0,2139299,16845168,284632855,284034245
fb_a,2048,1,fifo,ml,models/v8_fb_rfc.onnx,0.7,0,0,0,50113746,32672095,602268,0,14705869,0,2133514,16839383,313657955,313047254
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.8,0,0,0,50113746,31636813,592174,0,14705869,0,3178890,17884759,334782851,334182281
fb_b,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.85,0,0,0,102876031,50996747,442568,0,36942103,0,14494613,51436716,691674,240402
fb_a,2048,1,arc,ml,models/v8_fb_rfc.onnx,0.75,0,0,0,50113746,31634420,616205,0,14705869,0,3157252,17863121,400681578,400055530
fb_b,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.9,0,0,0,102876031,51016552,376300,0,36942103,0,14541076,51483179,489577,108666
fb_b,2048,1,lru,ml,models/v8_fb_rfc.onnx,0.95,0,0,0,102876031,51059956,31902,0,36942103,0,14842070,51784173,43165,10274
fb_b,2048,1,lru,ml,models/v8_fb_rfc.onnx,1,0,0,0,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_a,2048,1,sieve,ml,models/v8_fb_rfc.onnx,1,0,0,0,50113746,33070457,0,0,14705869,0,2337420,17043289,0,0
