in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_c,2048,1,sieve,never,,1,0,0,0,false,585034315,309397898,0,216927,69164776,184693343,21561371,90726147,0,0
cf_d,2048,1,lru,never,,1,0,0,0,false,633171872,357978117,0,332575,74905308,176664820,23291052,98196360,0,0
cf_c,2048,1,fifo,never,,1,0,0,0,false,585034315,348146342,0,453634,69164776,139331617,27937946,97102722,0,0
cf_c,2048,1,arc,never,,1,0,0,0,false,585034315,301768772,0,180554,69164776,191516596,22403617,91568393,0,0
cf_b,2048,1,arc,never,,1,0,0,0,false,737911396,414713192,0,265721,45745872,258241647,18944964,64690836,0,0
cf_d,2048,1,sieve,never,,1,0,0,0,false,633171872,358332814,0,329729,74905308,174907795,24696226,99601534,0,0
cf_d,2048,1,fifo,never,,1,0,0,0,false,633171872,399059365,0,529729,74905308,126878333,31799137,106704445,0,0
cf_e,2048,1,lru,never,,1,0,0,0,false,350792453,198469434,0,179915,31410803,114767069,5965232,37376035,0,0
cf_e,2048,1,sieve,never,,1,0,0,0,false,350792453,198821500,0,181526,31410803,113765849,6612775,38023578,0,0
cf_e,2048,1,arc,never,,1,0,0,0,false,350792453,197204924,0,178708,31410803,115261342,6736676,38147479,0,0
cf_e,2048,1,fifo,never,,1,0,0,0,false,350792453,212499271,0,681814,31410803,96081550,10119015,41529818,0,0
cf_d,2048,1,arc,never,,1,0,0,0,false,633171872,351122402,0,279406,74905308,181904946,24959810,99865118,0,0
cf_f,2048,1,sieve,never,,1,0,0,0,false,390182208,209684540,0,57340,32923596,140372463,7144269,40067865,0,0
cf_f,2048,1,lru,never,,1,0,0,0,false,390182208,209375665,0,50463,32923596,141382105,6450379,39373975,0,0
cf_f,2048,1,fifo,never,,1,0,0,0,false,390182208,228577288,0,96415,32923596,117713805,10871104,43794700,0,0
cf_f,2048,1,arc,never,,1,0,0,0,false,390182208,207926718,0,48163,32923596,141956292,7327439,40251035,0,0
cf_g,2048,1,lru,never,,1,0,0,0,false,305423259,143396155,0,101415,30637283,125137997,6150409,36787692,0,0
cf_a,2048,1,arc,never,,1,0,0,0,false,611934080,345433042,0,240256,39393977,212344946,14521859,53915836,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,false,611934080,354168911,0,244345,39393977,205214292,12912555,52306532,0,0
cf_a,2048,1,sieve,never,,1,0,0,0,false,611934080,354168911,0,244345,39393977,205214292,12912555,52306532,0,0
cf_a,2048,1,lru,never,,1,0,0,0,false,611934080,352806049,0,244674,39393977,207658089,11831291,51225268,0,0
cf_a,2048,1,gdsf,never,,1,0,0,0,false,611934080,353135586,0,241226,39393977,218349472,813819,40207796,0,0
cf_e,2048,1,gdsf,never,,1,0,0,0,false,350792453,201704988,0,178995,31410803,117234436,263231,31674034,0,0
cf_g,2048,1,sieve,never,,1,0,0,0,false,305423259,143822635,0,101804,30637283,124138333,6723204,37360487,0,0
cf_g,2048,1,fifo,never,,1,0,0,0,false,305423259,159761515,0,137234,30637283,105173370,9713857,40351140,0,0
cf_h,2048,1,sieve,never,,1,0,0,0,false,322920612,143728621,0,94406,29307352,144115086,5675147,34982499,0,0
fb_a,2048,1,lru,never,,1,0,0,0,false,50113746,32071703,0,0,14705869,1915490,1420684,16126553,0,0
