in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,arc,oracle,,2,0,0,0,true,611934080,541233417,11231588,0,39393977,0,20075098,59469075,14823121,3591533
cf_a,2048,1,arc,oracle,,2,0,0,0,true,611934080,541233417,11231588,0,39393977,0,20075098,59469075,14823121,3591533
cf_a,2048,1,arc,oracle,,1,0,0,0,true,611934080,541156227,9057992,0,39393977,0,22325884,61719861,10077669,1019677
cf_a,2048,1,arc,oracle,,3,0,0,0,true,611934080,541228690,12402867,0,39393977,0,18908546,58302523,18506918,6104051
cf_a,2048,1,fifo,oracle,,3,0,0,0,true,611934080,538178418,12689414,0,39393977,0,21672271,61066248,20849667,8160253
cf_a,2048,1,fifo,oracle,,2,0,0,0,true,611934080,538463981,11488493,0,39393977,0,22587629,61981606,16857191,5368698
cf_a,2048,1,fifo,oracle,,2,0,0,0,true,611934080,538463981,11488493,0,39393977,0,22587629,61981606,16857191,5368698
cf_a,2048,1,fifo,oracle,,1,0,0,0,true,611934080,539044174,9245682,0,39393977,0,24250247,63644224,11427537,2181855
cf_b,2048,1,lru,oracle,,2,0,0,0,true,737911396,655316860,14137259,0,45745872,0,22711405,68457277,18269918,4132659
cf_a,2048,1,fifo,oracle,,4,0,0,0,true,611934080,538016653,13498293,0,39393977,0,21025157,60419134,24265924,10767631
cf_b,2048,1,lru,oracle,,1,0,0,0,true,737911396,655735491,11383930,0,45745872,0,25046103,70791975,12437598,1053668
cf_a,2048,1,arc,oracle,,4,0,0,0,true,611934080,541198826,13217603,0,39393977,0,18123674,57517651,21675682,8458079
cf_a,2048,1,gdsf,oracle,,1,0,0,0,true,611934080,551408177,9987856,0,39393977,0,11144070,50538047,9993768,5912
cf_a,2048,1,lru,oracle,,3,0,0,0,true,611934080,544586413,11997731,0,39393977,0,15955959,55349936,17709978,5712247
cf_a,2048,1,gdsf,oracle,,2,0,0,0,true,611934080,551105168,12515214,0,39393977,0,8919721,48313698,14934990,2419776
cf_a,2048,1,sieve,oracle,,3,0,0,0,true,611934080,543399492,12210488,0,39393977,0,16930123,56324100,18235624,6025136
cf_a,2048,1,sieve,oracle,,3,0,0,0,true,611934080,543399492,12210488,0,39393977,0,16930123,56324100,18235624,6025136
cf_a,2048,1,sieve,oracle,,1,0,0,0,true,611934080,543927932,8894998,0,39393977,0,19717173,59111150,9843671,948673
cf_a,2048,1,sieve,oracle,,3,0,0,0,true,611934080,543399492,12210488,0,39393977,0,16930123,56324100,18235624,6025136
cf_a,2048,1,sieve,oracle,,1,0,0,0,true,611934080,543927932,8894998,0,39393977,0,19717173,59111150,9843671,948673
cf_a,2048,1,sieve,oracle,,2,0,0,0,true,611934080,543592128,11030084,0,39393977,0,17917891,57311868,14542507,3512423
cf_a,2048,1,sieve,oracle,,4,0,0,0,true,611934080,543286994,13015251,0,39393977,0,16237858,55631835,21529697,8514446
cf_a,2048,1,sieve,oracle,,1,0,0,0,true,611934080,543927932,8894998,0,39393977,0,19717173,59111150,9843671,948673
cf_a,2048,1,sieve,oracle,,2,0,0,0,true,611934080,543592128,11030084,0,39393977,0,17917891,57311868,14542507,3512423
cf_a,2048,1,gdsf,oracle,,4,0,0,0,true,611934080,550841491,14989576,0,39393977,0,6709036,46103013,22595116,7605540
cf_a,2048,1,sieve,oracle,,4,0,0,0,true,611934080,543286994,13015251,0,39393977,0,16237858,55631835,21529697,8514446
cf_a,2048,1,lru,oracle,,4,0,0,0,true,611934080,544483824,12796411,0,39393977,0,15259868,54653845,20940622,8144211
cf_a,2048,1,lru,oracle,,2,0,0,0,true,611934080,544759950,10832671,0,39393977,0,16947482,56341459,14097450,3264779
cf_a,2048,1,lru,oracle,,1,0,0,0,true,611934080,545072285,8719393,0,39393977,0,18748425,58142402,9564309,844916
cf_a,2048,1,gdsf,oracle,,3,0,0,0,true,611934080,550938187,14040070,0,39393977,0,7561846,46955823,19100262,5060192
cf_b,2048,1,lru,oracle,,3,0,0,0,true,737911396,655092129,15691842,0,45745872,0,21381553,67127425,23000326,7308484
cf_b,2048,1,sieve,oracle,,2,0,0,0,true,737911396,653710164,14496145,0,45745872,0,23959215,69705087,18919719,4423574
cf_b,2048,1,fifo,oracle,,3,0,0,0,true,737911396,646332173,17318717,0,45745872,0,28514634,74260506,27402003,10083286
cf_b,2048,1,fifo,oracle,,2,0,0,0,true,737911396,647604784,12657815,0,45745872,0,31902925,77648797,14983736,2325921

cf_b,2048,1,fifve,oracle,,3,0,0,0,true,737911396,653457276,16056341,0,45745872,0,22651907,68397779,23832571,7776230
cf_b,2048,1,sieve,oracle,,3,0,0,0,true,737911396,653457276,16056341,0,45745872,0,22651907,68397779,23832571,7776230
cf_b,2048,1,sieve,oracle,,3,0,0,0,true,737911396,653457276,16056341,0,45745872,0,22651907,68397779,23832571,7776230
cf_b,2048,1,sieve,oracle,,4,0,0,0,true,737911396,653319048,17091583,0,45745872,0,21754893,67500765,28202175,11110592
cf_b,2048,1,arc,oracle,,2,0,0,0,true,737911396,650770475,15115941,0,45745872,0,26279108,72024980,20362595,5246654
cf_b,2048,1,arc,oracle,,3,0,0,0,true,737911396,650762270,16604819,0,45745872,0,24798435,70544307,25140528,8535709
cf_b,2048,1,arc,oracle,,4,0,0,0,true,737911396,650753560,17640114,0,45745872,0,23771850,69517722,29417810,11777696
cf_b,2048,1,arc,oracle,,1,0,0,0,true,737911396,650671121,12294035,0,45745872,0,29200368,74946240,13791777,1497742
cf_b,2048,1,fifo,oracle,,4,0,0,0,true,737911396,646059422,18429678,0,45745872,0,27676424,73422296,32161198,13731520
cf_c,2048,1,lru,oracle,,1,0,0,0,true,585034315,478568333,9624160,0,69164776,0,27677046,96841822,10039745,415585
cf_c,2048,1,sieve,oracle,,2,0,0,0,true,585034315,477329356,12140027,0,69164776,0,26400156,95564932,15491878,3351851
cf_c,2048,1,sieve,oracle,,3,0,0,0,true,585034315,476935157,13546673,0,69164776,0,25387709,94552485,19747826,6201153
cf_c,2048,1,sieve,oracle,,4,0,0,0,true,585034315,476675043,14923690,0,69164776,0,24270806,93435582,25011108,10087418
cf_b,2048,1,lru,oracle,,4,0,0,0,true,737911396,654955638,16729858,0,45745872,0,20480028,66225900,27335541,10605683
cf_b,2048,1,gdsf,oracle,,1,0,0,0,true,737911396,663788978,13337293,0,45745872,0,15039253,60785125,13351096,13803
cf_b,2048,1,gdsf,oracle,,2,0,0,0,true,737911396,663301046,16979645,0,45745872,0,11884833,57630705,20429814,3450169
cf_c,2048,1,arc,oracle,,1,0,0,0,true,585034315,475852883,9847127,0,69164776,0,30169529,99334305,10733401,886274
cf_b,2048,1,sieve,oracle,,1,0,0,0,true,737911396,654143080,11766632,0,45745872,0,26255812,72001684,12947365,1180733
cf_b,2048,1,gdsf,oracle,,4,0,0,0,true,737911396,662943354,20118428,0,45745872,0,9103742,54849614,30516309,10397881
cf_c,2048,1,arc,oracle,,2,0,0,0,true,585034315,475814239,12307130,0,69164776,0,27748170,96912946,16062668,3755538
cf_b,2048,1,gdsf,oracle,,3,0,0,0,true,737911396,663067780,18904283,0,45745872,0,10193461,55939333,25901833,6997550
cf_c,2048,1,fifo,oracle,,1,0,0,0,true,585034315,472782947,10149935,0,69164776,0,32936657,102101433,11316961,1167026
cf_c,2048,1,fifo,oracle,,2,0,0,0,true,585034315,472186974,12658837,0,69164776,0,31023728,100188504,17060994,4402157
cf_c,2048,1,fifo,oracle,,3,0,0,0,true,585034315,471794490,14096212,0,69164776,0,29978837,99143613,21655791,7559579
cf_c,2048,1,fifo,oracle,,4,0,0,0,true,585034315,471335296,15548844,0,69164776,0,28985399,98150175,27644457,12095613
