in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,546116460,979505,0,39393977,0,25444138,64838115,1036098,54067
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,611934080,546186945,231218,0,39393977,0,26121940,65515917,234935,3533
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,545879102,2733809,0,39393977,0,23927192,63321169,2984821,244421
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,552287068,2737879,0,39393977,0,17515156,56909133,2989270,244611
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,552522598,980339,0,39393977,0,19037166,58431143,1036915,54014
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.7,0,0,0,true,611934080,544221725,4945745,0,39393977,0,23372633,62766610,7989499,3023917
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,552124290,3580742,0,39393977,0,16835071,56229048,4175722,581666
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.65,0,0,0,true,611934080,545201274,6549529,0,39393977,0,20789300,60183277,242439343,235855209
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.6,0,0,0,true,611934080,544892928,9149655,0,39393977,0,18497520,57891497,839781106,830588323
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,545714207,3572362,0,39393977,0,23253534,62647511,4164775,579644
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.75,0,0,0,true,611934080,545628142,4091175,0,39393977,0,22820786,62214763,5003057,895619
cf_a,2048,1,lru,ml,models/v9_cf_rfc.onnx,0.7,0,0,0,true,611934080,545471821,4898182,0,39393977,0,22170100,61564077,7925532,3003928
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.75,0,0,0,true,611934080,544422034,4104669,0,39393977,0,24013400,63407377,5026922,907994
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.65,0,0,0,true,611934080,543977608,6569473,0,39393977,0,21993022,61386999,242311856,235712203
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,544528222,3567110,0,39393977,0,24444771,63838748,4164890,586494
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,544944705,946931,0,39393977,0,26648467,66042444,1003165,53861
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,1,0,0,0,true,611934080,545055226,0,0,39393977,0,27484877,66878854,0,0
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,544695484,2708240,0,39393977,0,25136379,64530356,2959467,245283
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,1,0,0,0,true,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,1,0,0,0,true,611934080,552604459,0,0,39393977,0,19935644,59329621,0,0
cf_a,2048,1,gdsf,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,611934080,552591946,231224,0,39393977,0,19716933,59110910,234940,3532
cf_a,2048,1,sieve,ml,models/v9_cf_rfc.onnx,0.6,0,0,0,true,611934080,543641168,9198958,0,39393977,0,19699977,59093954,850016409,840778513
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.7,0,0,0,true,611934080,539732864,4614864,0,39393977,0,28192375,67586352,7526259,2903349
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.75,0,0,0,true,611934080,539788199,3804278,0,39393977,0,28947626,68341603,4638099,828896
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,539753927,2425178,0,39393977,0,30360998,69754975,2622545,196011
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.9,0,0,0,true,611934080,539484116,770179,0,39393977,0,32285808,71679785,806591,35995
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,539781228,3258775,0,39393977,0,29500100,68894077,3766354,504442
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.65,0,0,0,true,611934080,539664093,6229719,0,39393977,0,26646291,66040268,150841754,144599994
cf_a,2048,1,arc,ml,models/v9_cf_rfc.onnx,0.95,0,0,0,true,611934080,539049894,173851,0,39393977,0,33316358,72710335,176194,2325
cf_a,2048,1,fifo,ml,models/v9_cf_rfc.onnx,0.7,0,0,0,true,611934080,540077559,5009560,0,39393977,0,27452984,66846961,8061095,3034336
cf_a,2048,1,fifo,ml,models/v9_cf_rfc.onnx,0.75,0,0,0,true,611934080,540289190,4169038,0,39393977,0,28081875,67475852,5098117,916603
cf_a,2048,1,fifo,ml,models/v9_cf_rfc.onnx,0.85,0,0,0,true,611934080,540728404,2573317,0,39393977,0,29238382,68632359,2817196,238917
cf_a,2048,1,fifo,ml,models/v9_cf_rfc.onnx,0.8,0,0,0,true,611934080,540429548,3606224,0,39393977,0,28504331,67898308,4206766,590713
