in,gib,ksr,cache_type,mode,model,mlthres,rv_min_ttl,rv_min_freq,rv_max_za,evict_expired,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,33189763,12867,0,14705869,0,2205247,16911116,14969,1200
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,33189763,12867,0,14705869,0,2205247,16911116,14969,1200
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,50113746,33194501,0,0,14705869,0,2213376,16919245,0,0
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,50113746,34435213,0,0,14705869,0,972664,15678533,0,0
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,34430520,12447,0,14705869,0,964910,15670779,14125,974
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,50113746,34411751,136229,0,14705869,0,859897,15565766,150939,11482
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,50113746,33171176,136897,0,14705869,0,2099804,16805673,153900,13087
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,50113746,34406714,175405,0,14705869,0,825758,15531627,227530,45200
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,33093291,528396,0,14705869,0,1786190,16492059,165360842,164821084
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,33093291,528396,0,14705869,0,1786190,16492059,165360842,164821084
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,50113746,33166454,174662,0,14705869,0,2066761,16772630,231641,49338
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,33083738,603732,0,14705869,0,1720407,16426276,297965505,297348862
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,33083738,603732,0,14705869,0,1720407,16426276,297965505,297348862
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.7,0,0,0,true,50113746,33080507,622215,0,14705869,0,1705155,16411024,312291822,311654545
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.68,0,0,0,true,50113746,33079637,625508,0,14705869,0,1702732,16408601,316639182,315997837
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,50113746,33070457,0,0,14705869,0,2337420,17043289,0,0
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,33065355,10643,0,14705869,0,2331879,17037748,14531,3211
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,50113746,33041766,167616,0,14705869,0,2198495,16904364,232456,59889
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,50113746,33046410,131805,0,14705869,0,2229662,16935531,154623,20127
fb_a,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.66,0,0,0,true,50113746,33077760,631436,0,14705869,0,1698681,16404550,408498953,407850315
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,32968930,520609,0,14705869,0,1918338,16624207,166500935,165972653
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,32959191,595837,0,14705869,0,1852849,16558718,296329429,295724410
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,34333328,531984,0,14705869,0,542565,15248434,458510876,457965599
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,50113746,31679574,0,0,14705869,0,3728303,18434172,0,0
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,31678265,10015,0,14705869,0,3719597,18425466,11151,783
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.7,0,0,0,true,50113746,32955928,612888,0,14705869,0,1839061,16544930,309545593,308921718
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,50113746,31677492,128975,0,14705869,0,3601410,18307279,148588,17454
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,50113746,31675376,166713,0,14705869,0,3565788,18271657,229566,58257
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,31633689,528779,0,14705869,0,3245409,17951278,238880555,238343663
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.68,0,0,0,true,50113746,32955029,615791,0,14705869,0,1837057,16542926,313406304,312778992
fb_a,2048,1,sieve,ml,models/v9_fb_rfc.onnx,0.66,0,0,0,true,50113746,32953253,621315,0,14705869,0,1833309,16539178,394125265,393491220
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,34323744,608516,0,14705869,0,475617,15181486,810391705,809766569
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,50113746,32799473,0,0,14705869,0,2608404,17314273,0,0
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,50113746,32790558,4702,0,14705869,0,2612617,17318486,11837,6750
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,50113746,32767318,123283,0,14705869,0,2517276,17223145,155938,30895
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,50113746,32761100,156173,0,14705869,0,2490604,17196473,234725,75359
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,31628660,613333,0,14705869,0,3165884,17871753,427425278,426801179
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.7,0,0,0,true,50113746,34320410,629646,0,14705869,0,457821,15163690,845287266,844637803
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.68,0,0,0,true,50113746,34319526,633911,0,14705869,0,454440,15160309,855482439,854827447
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,50113746,32687555,506794,0,14705869,0,2213528,16919397,169924260,169412064
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.7,0,0,0,true,50113746,31639153,623442,0,14705869,0,3145282,17851151,449149908,448513425
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.75,0,0,0,true,50113746,32676950,582213,0,14705869,0,2148714,16854583,300687639,300098628
fb_b,2048,1,lru,ml,models/v9_fb_rfc.onnx,1,0,0,0,true,102876031,51073999,0,0,36942103,0,14859929,51802032,0,0
fb_a,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.66,0,0,0,true,50113746,34317620,642330,0,14705869,0,447927,15153796,1056230761,1055564134
fb_b,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,102876031,51059738,32905,0,36942103,0,14841285,51783388,44205,10248
fb_b,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.9,0,0,0,true,102876031,51024656,318058,0,36942103,0,14591214,51533317,396261,73341
fb_b,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.85,0,0,0,true,102876031,51000687,425922,0,36942103,0,14507319,51449422,641363,206268
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.7,0,0,0,true,50113746,32672651,599136,0,14705869,0,2136090,16841959,313626049,313018652
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.68,0,0,0,true,50113746,32671526,601954,0,14705869,0,2134397,16840266,317089808,316479107
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.68,0,0,0,true,50113746,31639416,626784,0,14705869,0,3141677,17847546,460629379,459988913
fb_a,2048,1,arc,ml,models/v9_fb_rfc.onnx,0.66,0,0,0,true,50113746,31641321,633291,0,14705869,0,3133265,17839134,599130876,598482442
fb_b,2048,1,lru,ml,models/v9_fb_rfc.onnx,0.8,0,0,0,true,102876031,50824970,1314755,0,36942103,0,13794203,50736306,165037262,163706628
fb_a,2048,1,fifo,ml,models/v9_fb_rfc.onnx,0.66,0,0,0,true,50113746,32669525,607473,0,14705869,0,2130879,16836748,392786702,392169344
fb_b,2048,1,gdsf,ml,models/v9_fb_rfc.onnx,0.95,0,0,0,true,102876031,62307440,74866,0,36942103,0,3551622,40493725,84067,5133
