infile,capacity_mb,key_sample_ratio,evict_expired,rv_enable,rv_min_ttl,rv_min_freq,rv_max_zone_amp,all,hit_fresh,hit_reval,hit_stale,miss_mandatory,miss_expired,miss_evicted,fetches,revals,reval_wasted
cf_a,2048,1,true,true,5,8,2,611934080,545785493,2058289,0,39393977,0,24696321,64090298,2821036,754241
cf_a,2048,1,true,true,5,5,2,611934080,545638894,2975422,0,39393977,0,23925787,63319764,4291683,1300708
cf_a,2048,1,true,true,5,2,2,611934080,545113041,5663957,0,39393977,0,21763105,61157082,11235478,5509903
cf_a,2048,1,true,true,1,3,2,611934080,545375383,4409159,0,39393977,0,22755561,62149538,7179933,2738129
cf_a,2048,1,true,true,1,4,2,611934080,545536168,3572557,0,39393977,0,23431378,62825355,5363625,1769924
cf_a,2048,1,true,true,5,4,2,611934080,545537919,3521692,0,39393977,0,23480492,62874469,5304680,1761844
cf_a,2048,1,true,true,5,3,2,611934080,545377781,4338462,0,39393977,0,22823860,62217837,7089350,2718243
cf_a,2048,1,true,true,5,7,2,611934080,545752440,2290105,0,39393977,0,24497558,63891535,3172096,871905
cf_a,2048,1,true,true,1,7,2,611934080,545751686,2314619,0,39393977,0,24473798,63867775,3198412,873707
cf_a,2048,1,true,true,1,8,2,611934080,545784894,2078240,0,39393977,0,24676969,64070946,2842273,755527
cf_a,2048,1,true,true,1,6,2,611934080,545705104,2615979,0,39393977,0,24219020,63612997,3671980,1043766
cf_a,2048,1,true,true,5,6,2,611934080,545706056,2585449,0,39393977,0,24248598,63642575,3638737,1041053
cf_a,2048,1,true,true,1,1,2,611934080,544622985,8373086,0,39393977,0,19544032,58938009,32005818,23443577
cf_a,2048,1,true,true,1,2,2,611934080,545109438,5778253,0,39393977,0,21652412,61046389,11433331,5593460
cf_a,2048,1,true,true,1,5,2,611934080,545637592,3014145,0,39393977,0,23888366,63282343,4334651,1304953
cf_a,2048,1,true,true,5,1,2,611934080,544628669,8122032,0,39393977,0,19789402,59183379,30778304,22467117
cf_e,2048,1,true,true,120,3,2,350792453,301694465,2246519,0,31410803,0,15440666,46851469,3936510,1648208
fb23_a,2048,1,true,true,30,2,2,50114817,25996400,663418,0,14706046,0,8748953,23454999,4020158,3353304
cf_a,2048,1,true,true,120,2,2,611934080,545361302,4012110,0,39393977,0,23166691,62560668,8406695,4332992
cf_a,2048,1,true,true,30,5,2,611934080,545644403,2933948,0,39393977,0,23961752,63355729,4190155,1240654
fb23_b,2048,1,true,true,120,8,2,102880352,32530193,214428,0,36942641,0,33193090,70135731,632592,417531
cf_a,2048,1,true,true,15,7,2,611934080,545754006,2271511,0,39393977,0,24514586,63908563,3110952,829355
fb23_a,2048,1,true,true,60,8,2,50114817,26077411,128495,0,14706046,0,9202865,23908911,331204,202390
fb23_c,2048,1,true,true,5,5,2,96069531,37271927,414860,0,34573902,0,23808842,58382744,1488308,1072080
fb23_c,2048,1,true,true,1,6,2,96069531,37284974,330811,0,34573902,0,23879844,58453746,1123977,792141
cf_g,2048,1,true,true,60,1,2,305423259,255032988,4353026,0,30637283,0,15399962,46037245,18260886,13663135
